Player,Team,0,1,2,3,4,5,6
Koumadje C. ,ALBA BERLIN,0.9875308290237732,1.289697919371984,1.0612205916578925,0.39535083244660985,-0.376125147362602,-1.9203958277496485,-0.443286236405279
Giffey N. ,FC Bayern München,0.8825181472610694,-0.27307362781682204,0.587352343648698,-0.09094160858445068,0.3294739359603248,-0.610890646980404,-0.48694598289133745
Gillespie F. ,FC Bayern München,0.7448625714971662,1.4445228009407296,1.5998771748360094,-0.002405628639889256,1.10285043249301,1.4721630425898515,-0.7736392733126569
Vrcic B. ,HAKRO Merlins Crailsheim,0.843758108921494,-0.5147928355964314,0.4878878372202967,0.2391457265003996,0.3773697895506971,-0.07703531566085474,-1.292913047803604
Turudic B. ,Basketball Löwen Braunschweig,0.9044452329959188,0.6268738246144675,0.5004740086538371,-0.40916814753464864,0.18681320879808455,-1.4985962089867026,-1.5690438380639686
Roberson J. ,MHP RIESEN Ludwigsburg,0.98448494700196,0.38946889519568834,0.6273326626198028,0.20576091051225695,-0.19018518996593287,-1.243654604579756,-1.3483784667915681
Cherry W. ,MHP RIESEN Ludwigsburg,0.8600483857539681,-0.08380116222693833,-0.12396201680235955,-1.5364315975496052,-0.43569186989619874,0.050665532195959664,-1.8880216208442304
Patrick Ja. ,MHP RIESEN Ludwigsburg,1.102484476621257,-0.9905596960818573,0.8103302525023657,0.7361483650590991,-0.6506408898511366,-1.4443652750063949,-0.34543360813004553
Lewis M. ,FRAPORT SKYLINERS,0.9033806426227264,-0.4367253238561198,0.18827329232548567,-0.46037328131986366,0.8536537475925082,-0.7787335320867131,-1.5580345003630862
Kessens M. ,Telekom Baskets Bonn,0.9452344797691774,1.109437879553681,1.1334171114728293,-0.3669951312436702,0.49779918614117963,-0.24692437954944865,-0.6049148376424401
Vargas A. ,MLP Academics Heidelberg,1.08945236131066,-0.7047683386733543,1.0444850431341768,-0.03249061322939754,-0.9316490272483011,-0.5509416860119384,-0.5744343692371496
DiLeo M. ,EWE Baskets Oldenburg,0.958475110606082,-0.9522707077747448,0.46395457331945666,0.23762947051008643,0.11664514643049267,-0.1615201026580829,-2.1953775191524145
Edigin E. ,MHP RIESEN Ludwigsburg,1.0282286883452987,1.0124255191207807,1.2282220777143578,-0.19843023695641554,-0.001780256882304827,-0.6807572986641413,-1.6921666113286766
Teague M. ,EWE Baskets Oldenburg,1.0481050193700985,-0.20780401083389102,0.4649425018700714,0.08650220490546999,0.2658065814460043,-0.6844930395257269,-0.24155540875296996
Theis S. ,ROSTOCK SEAWOLVES,1.1263007473375741,-0.6036038499715727,0.6121302551561627,0.24068728927650584,-0.5688306832234503,-0.9933366807782616,-1.3661240677298083
Procida G. ,ALBA BERLIN,1.1410289983009598,-0.19656684211080458,0.4417799975667947,0.49737815114752093,-0.88576840567148,-0.5818421809745745,-1.6638216195945337
Welp C. ,Würzburg Baskets,1.0789281141305371,-0.04182827016255514,0.9214574744379825,0.19365964021108587,0.2133187137003105,-0.36116629971289854,-0.7041696291513746
Delow M. ,ALBA BERLIN,1.1337179804964264,-0.385724823595681,0.9908999641303715,-0.6836596778411835,-0.6107845277013062,-0.4886819492584121,0.432762699431479
Valtonen E. ,ROSTOCK SEAWOLVES,1.10385549826039,0.20586220701205363,0.24668276771518463,0.21813677947051482,0.2915723723738088,-0.7194814418443662,-1.9885597760950122
Tubutis E. ,FRAPORT SKYLINERS,1.0411168296855335,0.25762315059236235,0.8481515157906814,-0.174000554695716,0.9012101482001796,-0.4175636910378659,-0.018572743169341772
Ihring M. ,SYNTAINICS MBC,1.0741091164474872,-0.06362374273323343,0.38252193076408403,-1.2656176448135916,-0.3244171886672865,-4.2846624301337924e-05,-1.500283818703488
Fru S. ,Basketball Löwen Braunschweig,1.1639471674800046,0.5565698575056546,1.1470300150955144,0.135227073340997,-0.13365756770397913,-1.2157212482356317,-1.7129053552595668
Diallo N. ,medi bayreuth,1.3201630686214858,0.9146286761664402,0.8539806357852711,0.30114239512508784,-1.027970831466182,-2.905128633449198,-1.6964879681039717
Bähre J. ,MHP RIESEN Ludwigsburg,1.2554845769683605,0.3355833232242641,1.0089559401457693,0.38785028832221397,-0.35773655805117016,-0.9323846556319813,-0.26925249100235105
Lockhart D. ,NINERS Chemnitz,1.2277682548225346,-0.5538870272065236,1.5925216219709084,-0.897582544678137,-1.162887938783423,-0.9444530662877523,-0.33129418842657243
Hoffmann F. ,Würzburg Baskets,1.0986765490508672,-0.38299603822546047,0.8905591513534891,-0.09309202792283841,0.7110901808352621,0.47609987004112836,-1.036114578961034
Zugic F. ,ratiopharm ulm,1.3493992146525826,0.024081047146398707,0.46359656875175015,0.03729576695283224,-1.1174120931242977,-1.6197123096390789,-1.648318658273016
Clark II M. ,Veolia Towers Hamburg,1.2443035443965031,-0.483323189806996,0.8350189523362477,0.32442387174208803,0.07047447981243955,-0.875658324661587,-1.405344261826372
Lammers B. ,ALBA BERLIN,1.2314375823961354,0.6329136001980311,0.8052639400641185,0.2403857147775803,0.4137331044378299,-0.3969644878336407,-0.7837493757447056
